text,label
"Minden alkalommal, amikor azt hiszed, hogy az Undercover Brother nem tud már újat mutatni, talál valami újat, amivel meglephet és tovább szórakoztathat.",positive
"Eredeti tud lenni, még ha sok ötletét másoktól vesz is.",neutral
"Az énekes-zeneszerző Brian Adams rengeteg dalt vonultat fel - néhány potenciális sláger, néhány a történet szempontjából tolakodó - de az egész valahogy természetesen eltalálja a szellemét a darabnak.",neutral
"Azt hinné az ember, hogy Amerikának mostanra elege lett a bátor brit különcökből, akiknek aranyból van a szívük.",neutral
De az előadás még mindig bájos.,positive
"Akár megvilágosítottak téged Derrida előadásai a ""másik""és az ""én"" témakörében, akár nem, Derrida tagadhatatlanul lenyűgöző és játékos fickó.",positive
"Egy kellemes film, az ügyes színészi játéknak köszönhetően.",positive
Ez a legjobb amerikai film a problémás tinikről az 1998-as Akármi óta.,positive
"A Disney vagy nagy sikert arat, vagy nagyot bukik, amikor a szeretett gyerekkönyveket képernyőre viszi… az Örök kaland egy kicsit mindkettő.",neutral
"Már maga a munka, amely az őrület és a fény árnyjátékának rétegzett gazdagságának megteremtésében részt vesz, elképesztő.",positive
"Az animált mellékszál élesen ábrázolja a kamasz hősök belső küzdelmeit - bizonytalan, ellenőrizetlen és intenzív.",neutral
A legyőzhetetlen Werner Herzog él és virul Los Angelesben.,neutral
"Morton egy nagy színésznő, aki egy komplex karaktert játszik, de Morvern Callar egyre kevésbé meggyőző, ahogy távolodik a sokkoló kezdettől.",neutral
"A Satin Rouge varázsának része, hogy humorral és könnyedséggel leplezi el a nyilvánvalót.",positive
"A Menyasszony fia lehet, hogy egy jó félórával hosszabb a kelleténél, de telve van a rejtély és nyugalom kellemes érzésével.",neutral
"Egy forró pszichológiai dráma, amelyben az erőszak hirtelen kitörései, az őket megelőző lassú felgyülemlés után megdöbbentően hatnak.",neutral
"Feszes, intelligens pszichológiai dráma.",positive
"Egy igazán megindító élmény, és egy tökéletes példa arra, hogy a művészet -- ha jól csinálják -- hogyan segíthet gyógyítani, tisztázni és vigasztalni.",positive
"Ez az aprólékosan megfigyelt, mélyen átérzett és mesterien stilizált történet diadalként szolgál magának való rendezője számára.",positive
"Alapjában véve a film egy ügyesen elkészített feszített történet, amelynek gazdag árnyalatai inkább színként funkcionálnak, mint anyagként.",positive
"Faszakáll és Gollam kibővített szerepét vagy szeretni fogja, aki látja, vagy a szemét fogja forgatni.",neutral
Imádtam!,positive
"Gollam ""teljesítménye"" hihetetlen!",positive
"Ez a forgatókönyv leleményesebb, mint a Mementóé.",positive
"Ha ez a film egy könyv lenne, nem várnád meg, hogy mi fog történni, előre belelapoznál a történetbe.",positive
"Haneke arra hív minket, hogy nézzünk szembe a szexuális aberráció realitásával.",neutral
"Elnyelő és zavaró -- talán zavaróbb, mint eredetileg gondolták -- de egy kis világosság sokat segített volna.",negative
"Ez az év legjobb filmje, az a mérce, amelyhez a Best Picture összes többi versenyzőjét mérni kellene.",positive
"Fájdalmas végignézni, de akik hajlandóak ezt megtenni, az év két legkiválóbb és leglebilincselőbb filmes előadását nyerik jutalmul.",neutral
"Egy megdöbbentő film, amely lenyűgöző, bár lehangoló képet ad arról, hogy milyen az iráni vidéki élet az iraki határ közelében.",positive
"Néhány művészieskedéstől eltekintve a Narkózsaru olyan szókimondó, amilyen egy film lehet manapság.",neutral
"Bár a Sziget groteszk és mélységesen nőgyűlölő, a látványvilága hihetetlenül csodálatos.",neutral
"Tok és O együtt megszerveznek egy vidám, sötét humorú haláltáncot.",neutral
"Eközben megmutatják, hogy még mindig pezsgő élet van a hongkongi mozikban.",neutral
"A rendező, Kapur, kíváló érzékkel rendelkezik az epikus tájak és a kalandok iránt, és ez jobb filmje, mint korábbi túldicsért, angol nyelvű Elizabeth.",positive
"A film valóságos energiabomba, az energikus animációk és a fülbemászó dalok végigkísérik a teljes 85 percet.",positive
"Egy sportfilm, izgalmas akcióval a pályán és egy érdekes történettel a pályán kívül.",positive
"Doug Liman, a Bourne rendezője, jól illeszti össze a szálakat. Szép télies világot teremt, eláraszt minket a film kém ügyleteivel és Damon tehetségére építve fókuszált és őszinte tud lenni.",positive
A darab gyengédsége még mindig sértetlen.,positive
"Katz fényképeket, archív felvételeket, lincselésekről szóló szörnyű dokumetumokat és bájos régi tekercses felvételeket használ Meeropolról, gyerekei szórakoztatására, hogy megteremtse saját dalának történetét, de mindezek közül maga a dal a legerőteljesebb.",neutral
"Túlzás nélkül kiemelkedő, akárcsak a film szinte antropológiai részletességű felfogása a korai 80-as évek külvárosainak világáról.",positive
"Bár McFarlane animációja határozottan kiemeli a filmet más, nagykorúvá válásról szóló filmek közül, ennek ellenére annyira megrázó, hogy nehéz újra ráhangolódni a fiúk történetére.",neutral
"A film, ha mást nem is, a pszichológiai horror egy új, ígéretes és szokatlan változatát mutatja be.",neutral
"Egy normál képernyőn ezek a közhelyek alig lennének elegendőek, hogy fenntartsanak egy köztes programot a Discovery Channelen.",negative
Az Imax 3-D-ben a klisékről elvonja a figyelmet a felvételek szédítő perspektívája.,neutral
"Burger író-rendező képzeletében egy szunnyadó nemzeti gyásznak és kíváncsiságnak szurkol, ami krónikus cinizmussá és félelemmé alakult benne.",neutral
Egy film hullámvasútja.,neutral
"Élveztem a Szívesség idejét amikor néztem, de meglepődtem rajta, milyen gyorsan elvalványodtak róla az emlékeim.",neutral
"A Chicago kifinomult, pimasz, cinikus; a kivitelezése teljesen örömteli.",positive
Steve Irwin módszere Ernest Hemmingway gyorsított sebességgel és hangerővel.,neutral
"Egy frissítő koreai film öt középiskolás barátnőről, akik nem várt küzdelmekkel néznek szembe, amikor megpróbálják elmélyíteni a kapcsolataikat.",positive
"A felszínen ez egy ""szerelmesek szökésben"" krimi, de sok közös vonása van Piesiewicz és Kieslowski korai munkáival, az olyan filmekkel, mint a Veronika kettős élete.",neutral
"A közös értékek, amelyek összetartották az Enterprise legénységét a korábbi kalandok és veszélyek során, újra sikerre viszik a csapatot - bátorság, önfeláldozás és türelem nyomás alatt.",neutral
"Ha lehetséges, hogy a folytatás túlszárnyalja az eredetit, akkor az SL2 pontosan erre példa.",positive
"Egy romantikus vígjáték, amely a saját univerzumának szabályai szerint működik.",neutral
"4 barát, 2 pár, 2000 mérföld és annyi Pabst Blue Ribbon sör, amennyit csak meg tudnak inni - ez a tökéletes suttyó kirándulás.",neutral
"A filmet gyakran lepi el a színtiszta csodálkozás és izgalom érzése, amelyet a mai ""du sarcasm"" moziban nem sűrűn látni.",positive
"Talán csábító lehet úgy tekinteni Mr. Andrew-ra és munkatársaira, mint különcökre, de Mr. Earnhart csipkelődő hangvételű, bájos filmje lehetővé teszi számunkra, hogy végre művészekként lássuk őket.",positive
Egy jó hangulatú kép a legjobb értelemben.,positive
"A film alanyait imitáló, szinkronizált stílusban forgatott és szerkesztett alkotással, Pray a feje tetejére állítja a dokumentumfilm fogalmát, felpezsdíti és felélénkíti a műfajt mindenféle MTV-szerű csinnadratta nélkül.",positive
"Egy többnyire intelligens, lebilincselő és pszichológiailag rezonáló történet.",positive
"Ez az emlék mint identitás koncepció adja a Titkos Életnek az időszakos nyugtalanító jellegét, megerősítve, hogy a régóta őrzött illúziók maguk a valóság, és hogy azok törlése alpjaiban formálja át az ember tudatát.",neutral
"A hip-hopnak története van, és ez ennek a szerelmi történetnek a metaforája.",neutral
"Hatalmában, ambíciójában és teljesítményében az Évszázad Gyermekei... Kurys karrierjét egy teljesen új szintre emeli.",positive
"Talán nincs a többi Holokauszt-filmre jellemző drámai hatása, de ez egy lenyűgöző történet, leginkább azért, mert azok az emberek mesélik el a történteket, akik ott voltak.",positive
Kocka drámája között?,neutral
"Személyes rádöbbenés arra, hogy mit jelent a bolt a nagy képben, ikonikus karakterek táncolnak végig a történeten, elbűvölő végeredménnyel.",positive
"Egy gyengéd, együttérző dráma a gyászról és a gyógyulásról.",positive
"Valahol röviden ez áll a Tremors - Ahová lépek, szörny terem filmről a modern B-Scene-en: Sem nem olyan vicces, sem nem olyan szellemes, mégis kellemesen szerény módja annak, hogy eltöltsünk 90 percet.",neutral
A stand-up komikusokról szóló digitális dokumentumfilm nagyszerű bepillantást nyújt egy teljesen más világba.,positive
"A legtöbb tinifilmmel ellentétben az Úszás időt szán arra, hogy bemutassa a cselekményt. Kevéssé ismert előadókra oszt kulcsszerepeket és némi izgalmat is csempész a történetbe.",positive
"Egy lenyűgöző, játékos film, amely folyamatosan meghiúsítja a vágyunkat, hogy megismerjük az ""igazságot"", miközben az életrajz műfaját olyan módon dekonstruálja, amelyre kétségkívül Derrida is áldását adná.",positive
"Az ""Extreme Ops"" felülmúlja a várakozásokat.",positive
"Jó szórakozás, jó akció, jó színészi teljesítmény, jó párbeszédek, jó tempó, jó mozi.",positive
"Fizess kilenc dollárt: Mert lehet, hogy hallasz a szenvedő afgán menekültekről a hírekben, de mégsem érzel részvétet.",neutral
Az ilyen drámák teszik emberré az embert.,positive
"Egy viharos utazás, melyben igencsak ritka a tiszta finomság megnyilvánulása; ennek hiánya gyengíti az egyébként tiszteletreméltó cselekmény potenciálját.",neutral
"Mégis, ez a film szórakoztató, és néhány igazán kiváló jelenetnek ad helyet.",positive
"Nyilvánvaló, hogy sok dél-koreainál talált rezonanciára, és valószínűleg a világ más részein is működik varázsereje.",positive
"Fuss, hogy láthasd ezt a csípős és üdítő vígjátékot a moziban.",positive
"Egy klasszikus darab egy legendától, akinek már nem kell mit bizonyítania, de még megvan a tehetsége, hogy megmutassa, hogyan csinálja.",positive
Természet a haladás ellen.,neutral
"Fessenden horrortrilógiájában ez a téma fontosnak bizonyult, különösen a fináléban.",neutral
"Nem éppen ínyenc étel, de a kaja normális, még ha az autós büféből is jön.",neutral
"Ez az, amiről az IMAX gondoskodik: Vegyél fel egy 3D-s szemüveget, zárd ki a valóságot, és utazz el a legvégső határig.",neutral
"Már csak pusztán technikai, logisztikai bravúrként is, az Orosz bárka mérföldkőnek számít a mozitörténetben.",positive
"Schweiger tehetséges és rettentően karizmatikus, e tulajdonságok elengedhetetlenek mind a filmsztárok, mint a társadalmi anarchisták számára.",positive
Sok a sistergés és kevés a steak.,negative
De milyen látványos sistergés ez!,positive
Egy eredeti gyöngyszem az idő iránti megszállottságról.,positive
"Gyönyörködtetni fogja azokat, akik újonnan ismerik meg a történetet, és azokat is, akik már ismerik.",positive
Csodálatosan ostoba - és véres - éjféli mozizós anyag.,positive
A film hatalmas adag őszinteséggel és érzékenységgel győzi le a nagykorúvá válás kliséinek szokásos aknamezőjét.,positive
"Egy kisebb vígjáték, amely megpróbálja egyensúlyba hozni az édességet a durvasággal, miközben szomorú képet fest a szinglik életéről.",neutral
Intenzíven személyes és mégis -- a Sade márki játékaival ellentétben -- ügyesen megmutatja nekünk az idők hangulatát.,positive
"Bármennyire is régimódiak a speciális effektusok, az Ellenség megalkotói oly módon fejtik ki az emberiség gépek feletti erejét, amit George Lucas már rég elfeledett.",neutral
Ahogy Mike sem szerez pontokat az eredetiségért.,negative
"Sikert ér el azáltal, hogy győztes stílusban követi az érezd-jól-magad képletet, és hogy a városi gyerekekből álló célközönségének felmutat néhány pozitív példaképet és némi optmizmust.",positive
"Nagyon vicces, és nagyszerű módja, hogy az amerikai emberek lássák, milyen egy jelölt, amikor nem ugyanazt a 15 centes kampánybeszédet mondja.",positive
"Távolról sem tökéletes, de a szíve a helyén van... ártatlan és jó szándékú.",neutral
"Egy szomorú, kiváló emberi vígjáték játszódott le az élet mellékvágányán.",positive
"A Waydowntown egyáltalán nem egy tökéletes film, de nagyfokú bájossággal és az eredetiség szikráival büszkélkedhet.",neutral
"Tim Allen nagyszerű a szerepében, de soha nem sajátítja ki a jeleneteket a többi szereplő elől, mivel ebben a vígjátékban mindenkinek rengeteg poén és jó sor jutott.",positive
"Sokkal inkább egy halom élvezetes - Conan a barbár-szerű - halandzsa, mint a speciális effekteket tartalmazó büntető lélektámadások, amiket a Múmia képei képviselnek.",neutral
"Rendkívül szimpatikus, ami részben annak köszönhető, hogy tudatában van a maga abszurditásának.",positive
"Itt egy brit film, aminek nincs semmi köze a valósághoz, mégis eltökélt szándéka, hogy szórakoztasson.",neutral
"Régi történet, de egy élénk forgatókönyv, dinamikus színészi teljesítmény és  részben animált közjátékok gondoskodnak arról, hogy a Csak egy csók harmatosan frissnek tűnjön.",positive
"Látnod kell, hogy elhidd.",positive
"Ray Liotta és Jason Patric az egyik legjobb formájukat nyújtják szerepükben, de ez ne tévesszen meg: itt senki sem érdemel díjat.",neutral
"Minden, aminek köze van Yvanhoz és Charlotte-hoz, és minden, aminek köze van Yvan hebehurgya, zsidó nővéréhez és nem zsidó férjéhez, viccesnek és igaznak tűnik.",positive
"Az év legboldogabb meglepetése, egy film, amely meglepő módon foglalkozik egy valódi témával.",positive
Behan művészetének és általában az ír filmeknek a rajongói nem fognak csalódni a Borstal Boyban.,positive
"Rejtélyei átlátszóan nyilvánvalóak, és túl lassan követik egymást ahhoz, hogy kriminek tekinthessük a történetet.",neutral
Az LRB szerint érdemes ajánlani Michael Caine és Brendan Fraser csodálatos előadásmódja miatt.,positive
"A film hűen követi azt, amit a könyv két alapvető premisszájának gondolunk -- hogy a szüleink hátán válunk azzá, akik vagyunk, de fogalmunk sincs, kik voltak ők a mi korunkban; és hogy az idő múlékony és értékes dolog, bármennyi idősek vagyunk is.",neutral
"Stephen Earnhart házi készítésű dokumentumfilmje, a Mule Skinner Blues imádja a lakókocsipark lakóit.",neutral
Erősen ajánlott megnézni ezt a horrorfilmet.,positive
"Ha túljutsz a Sziget fantasztikus aspektusain és durva realitásain, akkor egy valóságos vizuális tour-de-force filmet kapsz, és egy olyan sztorit láthatsz, amit valószínűleg sehol máshol nem fogsz többet.",positive
"Éppen annyira rosszul sikerült, mint amennnyire jól, de végül humorosan ábrázolja az emberi viselkedés gyarlóságait, és sikeresen visszatér egy olyan műfaj gyökereihez, amely a meglepetésektől függ.",neutral
Egy jól sikerült thriller bizonyos fokú intelligenciával és korlátozott erkölcsiséggel.,positive
"Elég tudomány van benne ahhoz, hogy oktatófilmnek számítson, és elég szépség ahhoz, hogy felejthetetlen legyen.",positive
"Továbbra is szilárd, bár kissé nehézkes beszámoló a majdnem-katasztrófáról... amelyet Howard készített, ha nem is túl fantáziadús, de biztos  kézzel.",neutral
"A Makmalbaf határozottan reálisan mutatja be az iráni határvidék kurd menekültjeinek megalkuvást nem ismerő, zord életét.",positive
Játékidejének nagy részében a Csapdába esve egy hatásos és klausztrofóbikus hatású thriller.,positive
A Crush egy okos és magával ragadó romantikus vígjáték egy csipetnyi jóleső keserűséggel.,positive
Nair képes megragadni egy nagy család komplexitását és gondjait-bajait...,positive
"Jó nézni a tengerparti ragyogást és a felszínes, gyönyörű embereket, miközben arra vársz, hogy a történet beinduljon.",positive
"Ritka az olyan ""városi komédia"", amely egyáltalán súrolja ennek a lefegyverző független filmnek a meglátásait és őszinteségét.",positive
William egyik legjobb filmbeli szerepei közé sorolható.,positive
Magávalragadóan megörökíti a barátság őrjítő és vonzó áramlatát.,positive
"Egy élmény, ami annyira lebilincselő, mintha egy új környezetbe ásnánk bele.",positive
"Teljes mértékben hagyományos filmkészítés, helyenként gondos figyelemmel és jóleső szellemességgel.",positive
"Talán azért, mert az elmúlt évben megjelentek az évtized legrosszabb vígjátékai, de őszintén szólva, az Elemzés nem is olyan rossz.",neutral
"Egy vicces, jól játszott, karakter-vezérelt vígjáték váratlan érzelem-megnyilvánulásokkal.",positive
"Egyszerűen szólva ez a legszórakoztatóbb dokumentumfilm, amit csak megnézhetsz!",positive
Nagyon vicces film.,positive
Egy találó fogalmazás szerint Haneke filmjét nézni egyszerre kihívás és büntetés.,neutral
"Lebilincselő Huppertet - a nagyszerű színésznőt - nézni, ahogy beleveti magát egy mérföldkőnek számító szerepbe.",positive
"Zsarusztori, ami elképesztően jól ismeri a médiát.",positive
"Britney épen és egészségesen került a vászonra, ahogyan a 20 éves szupersztár lányokat pályájuk csúcsán látni szeretjük.",neutral
"Azok, akik nem tagjai a show businessnek élvezni fogják, hogy olyan embereket vehetnek nagyító alá, akiket nem igazán akarnak megismerni.",neutral
"Az a fajta idegesítő film, ami vagy enyhe fejfájást okoz, vagy felvidít.",negative
"A gyerekek talán nem értenek meg mindent, ami történik -- nem vagyok biztos benne, hogy Miyazaki maga érti-e -- de szinte biztosan le lesznek nyűgözve, és kétségkívül el lesznek ragadtatva.",positive
Egy lenyűgöző és szórakoztató film.,positive
"Az ebihal egy kifinomult, vicces és jóindulatú csemege, jelentéktelen, de élvezetes.",neutral
"Ez az éleslátó Oscar-díjra jelölt dokumentumfilm, amelyben a gyerekek - távol az éber szülői szemektől - az egyre fokozódó konfliktusban megmondják a magukét, újabb esélyt ad a békére.",positive
Nagyon csodáltam ezt a munkát.,positive
"Akár meghatódsz és imádod, akár unod vagy csalódott vagy a film miatt, biztos, hogy érezni fogsz valamit.",neutral
"Elég szívszorító őszinteség van benne ahhoz, hogy a képernyőhöz ragadjunk.",positive
"Istenem, milyen sok mindent tud nyújtani Latifah királynő, és úgy tűnt, nem okoz neki gondot a természetes adottságainak fitogtatása.",positive
Biztos nagyon erős a háta.,neutral
"Egy okos, édes és játékos romantikus vígjáték.",positive
"Az ausztrál színész/rendező, John Polson és a díjnyertes angol operatőr, Giles Nuttgens óriási erőfeszítéseket tesznek annak érdekében, hogy energiával és innovációval elfedjék a nyilvánvalót.",positive
Dong minden szigorúságot melllőzve új perspektívát mutat az emberi gyarlóságok és ellentmondások intelligens megértésével.,positive
"Velős, torokszorító családi mozi, ami abból nyeri az erejét, hogy ragaszkodik a tényekhez.",positive
A film úgy eltereli a figyelmedet hogy észre sem veszed.,neutral
Érdekes és szórakoztató látni Goodallt és csimpánzait az életnagyságúnál nagyobb képernyőn.,positive
"Nem fogunk megszakadni a nevetéstől -- és nem is ez a szándék -- ez csupán egy egyszerű filmes vizsgálat arról, hogy mitől lesz egy vicc vicc.",neutral
"Egy kissé nyersen felépített, de megragadó, kutató betekintés egy olyan személy életébe, akit annyira kínoz az önutálat, hogy saját fajának ellenségévé válik.",positive
"Kiterjed Jean Genet és John Rechy írásaira, Fassbinder filmjeire, talán még Goya éjszakai műveire is.",neutral
"Lehet, hogy a Narkózsaru nem kap jelest az eredetiségére, de a B-kategóriás örökségét becsületjelvényként viseli.",neutral
"A film feltűnő befejezése ráébreszt, hogy még hosszú út áll előttünk, mielőtt teljesen megértjük az összes szexuális permutációt.",neutral
"A Dobszóló szórakoztató azért, amiről szól, és tiszteletre méltó azért, amiről nem.",positive
A legjobb időben ábrázolja a kultúrák összecsapását a testvérek közt.,positive
Egy pofátlanul ömlengős és egészen élvezetes igaz történet.,positive
Egy 1995-ben címlapokra került fájdalmas incidens gondolatokkal teli megközelítése.,neutral
"Vegyes érzelmekkel sétálsz ki a moziból a Jó kislány után... Helyteleníted amit Justine tett, de valamelyest meg is érted őt.",neutral
Tsai Ming-liang kristálytisztává finomította a védjegyévé vált stílusát.,positive
"Színtiszta propaganda, a példa nélküli hősimádat műve, mindazonáltal -- és valószínűleg akaratlanul -- időszerű és felbecsülhetetlen emlékeztető arra vonatkozólag, hogy milyen szerepet játszott az USA külpolitikája Castro felemelkedésében.",neutral
"Kb. 20 perccel lerövidítve, ez a pazar hároméves produkció elég nagyszerű ahhoz, hogy kielégítse a felnőttkori szabadulni akarást.",neutral
"Kapunk néhány igazán egyedi karaktertanulmányt és egy keresztmetszetet Amerika kultúrájából, amit Hollywood nem tudna hihetően visszaadni a képernyőkön.",positive
"Bár a film ügyetlen tud lenni, ambíciói hasonlóképpen-- és csodálatra méltóan -- nem kereskedelmi jellegűek.",neutral
"Merész, megbabonázó és rendkívül nehéz elfelejteni.",positive
"Moore előadása majdnem annyira lenyűgöző, mint az 1995-ös teljesítménye a Széfben Haynes oldalán.",positive
"A kémfilmek világába visz el minket - a történelem egy olyan szeletét vizsgálja meg, amit ritkán visznek képernyőre - és mint egy letehetetlen könyv, az első képkockától az utolsóig folyamatosan gondolkodásra késztet.",positive
"Egy depressziós életeseményt megjelenítő, lebilincselő darab, amely kényes pontokat érint és felfedi az igazságot.",positive
"Mr. Parker ragyogóan aktualizálta a témát, egy szomorú, ám vicces verset írva az elidegenített munkáról, létrehozva egy abszurd munkahelyi szappanoperát.",positive
Az eredmény valami egészen friss és kellemes.,positive
"Ez az ártalmatlan, de izgalmas kaland mindenkinek,  de különösen a szőrszálhasogató serdülők számára lehet élvezetes.",positive
A sok dühítő hibája ellenére -- amik közel az egyik nem utolsósorban Amy önimádó személyisége -- Amy őszintesége meg fog nyerni téged.,neutral
Ez Polanski egyik legjobb filmje.,positive
"A Nap nem egy remek Bond-film, de egy jó Bond-film, ami még mindig sokkal jobb, mint egy tipikus Bond-utánzat.",neutral
A letisztított koreai politikai akciófilmek ugyanolyan jók - és ugyanolyan rosszak - mint a hollywoodi akcióeposzok.,neutral
Ez haladás?,neutral
"Elling - akit Per Christian Ellefsen csendes igényességgel ábrázol - valóban egyedülálló karakter, akinek törékenysége kissé nagyított változata azoknak, amik szinte mindenkit bosszantanak.",neutral
"Denis és társszerzője, Michele Petin kifogástalan forgatókönyve olyan nyersen átható, amely egyszerre megingathatatlan és szívfájdító.",positive
"Testud és Parmentier, a vezető provokátorok kiváló teljesítményt nyújtanak.",positive
"Egy magával ragadó utazás a stressz alatt álló emberek elméjébe és motivációiba, valamint egy lelkes, érzelemmentes bepillantás az anyaság témájába.",positive
"Csodáltam, különösen azt a váratlanul lehangoló végkifejletet.",positive
"A régi és az új kultúrák közötti viszály által keltett szenvedélyek a közel-keleti sivatag furcsa, éles szépsége ellen irányulnak, amiket olyan  szeretettel és érzékien örökítettek meg, hogy szinte érezni lehet a kiszáradt levegőt.",positive
